2020-09-17 22:52:25.887 [restartedMain] INFO  org.chatroom.crdemo.CrdemoApplication - No active profile set, falling back to default profiles: default
2020-09-17 22:59:20.941 [restartedMain] INFO  org.chatroom.crdemo.CrdemoApplication - Starting CrdemoApplication on DESKTOP-UQQALD5 with PID 15156 (C:\Users\V\IdeaProjects\crdemo\target\classes started by V in C:\Users\V\IdeaProjects\crdemo)
2020-09-17 22:59:20.942 [restartedMain] INFO  org.chatroom.crdemo.CrdemoApplication - No active profile set, falling back to default profiles: default
2020-09-17 22:59:21.293 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-09-17 22:59:21.294 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-09-17 22:59:21.294 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-17 22:59:21.294 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-17 22:59:21.341 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-09-17 22:59:21.342 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 395 ms
2020-09-17 22:59:21.393 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-17 22:59:21.502 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-09-17 22:59:21.510 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-09-17 22:59:21.513 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-09-17 22:59:21.516 [restartedMain] INFO  org.chatroom.crdemo.CrdemoApplication - Started CrdemoApplication in 0.646 seconds (JVM running for 561.511)
2020-09-17 22:59:21.517 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-09-17 23:09:56.436 [Thread-17] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
